BlockName	Pathway	Length	Genes
hsa04014_AKT1_PAK2	hsa04014	5	AKT1*PAK2*RAC1*RAC2*RAC3*RALA*RALB*RALBP1*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT1_PAK3	hsa04014	5	AKT1*PAK3*RAC1*RAC2*RAC3*RALA*RALB*RALBP1*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT1_PAK4	hsa04014	5	AKT1*PAK4*RAC1*RAC2*RAC3*RALA*RALB*RALBP1*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT1_PAK5	hsa04014	5	AKT1*PAK5*RAC1*RAC2*RAC3*RALA*RALB*RALBP1*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT1_PAK6	hsa04014	5	AKT1*PAK6*RAC1*RAC2*RAC3*RALA*RALB*RALBP1*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT1_RAC1	hsa04014	4	AKT1*RAC1*RALA*RALB*RALBP1*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT1_RHOA	hsa04014	5	AKT1*RAC1*RAC2*RAC3*RALA*RALB*RALBP1*RALGAPA1*RALGAPA2*RALGAPB*RHOA
hsa04014_AKT2_MAPK10	hsa04014	3	AKT2*MAPK10*RALA*RALB*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT2_MAPK8	hsa04014	3	AKT2*MAPK8*RALA*RALB*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT2_MAPK9	hsa04014	3	AKT2*MAPK9*RALA*RALB*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT2_PAK1	hsa04014	5	AKT2*PAK1*RAC1*RAC2*RAC3*RALA*RALB*RALBP1*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT2_PAK2	hsa04014	5	AKT2*PAK2*RAC1*RAC2*RAC3*RALA*RALB*RALBP1*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT2_PAK3	hsa04014	5	AKT2*PAK3*RAC1*RAC2*RAC3*RALA*RALB*RALBP1*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT2_PAK4	hsa04014	5	AKT2*PAK4*RAC1*RAC2*RAC3*RALA*RALB*RALBP1*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT2_PAK5	hsa04014	5	AKT2*PAK5*RAC1*RAC2*RAC3*RALA*RALB*RALBP1*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT2_PAK6	hsa04014	5	AKT2*PAK6*RAC1*RAC2*RAC3*RALA*RALB*RALBP1*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT2_RAC1	hsa04014	4	AKT2*RAC1*RALA*RALB*RALBP1*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT2_RHOA	hsa04014	5	AKT2*RAC1*RAC2*RAC3*RALA*RALB*RALBP1*RALGAPA1*RALGAPA2*RALGAPB*RHOA
